source,target,weight,last_update,cycle
bbc_mundo,google_news_politica,23,2026-03-15 02:31:00+00:00,2026-03-15 02:31
eldiario,google_news_politica,23,2026-03-15 02:31:00+00:00,2026-03-15 02:31
google_news_politica,heraldo_aragon,22,2026-03-15 02:31:00+00:00,2026-03-15 02:31
eldiario,heraldo_aragon,21,2026-03-15 02:31:00+00:00,2026-03-15 02:31
bbc_mundo,heraldo_aragon,20,2026-03-15 02:31:00+00:00,2026-03-15 02:31
bbc_mundo,eldiario,20,2026-03-15 02:31:00+00:00,2026-03-15 02:31
google_news_politica,lavanguardia,20,2026-03-15 02:31:00+00:00,2026-03-15 02:31
bbc_mundo,lavanguardia,19,2026-03-15 02:31:00+00:00,2026-03-15 02:31
expansion,google_news_politica,18,2026-03-15 02:31:00+00:00,2026-03-15 02:31
google_news_politica,infolibre,18,2026-03-15 02:31:00+00:00,2026-03-15 02:31
bbc_mundo,expansion,17,2026-03-15 02:31:00+00:00,2026-03-15 02:31
expansion,heraldo_aragon,17,2026-03-15 02:31:00+00:00,2026-03-15 02:31
heraldo_aragon,lavanguardia,17,2026-03-15 02:31:00+00:00,2026-03-15 02:31
eldiario,lavanguardia,16,2026-03-15 02:31:00+00:00,2026-03-15 02:31
heraldo_aragon,infolibre,16,2026-03-15 02:31:00+00:00,2026-03-15 02:31
eldiario,expansion,16,2026-03-15 02:31:00+00:00,2026-03-15 02:31
20minutos,bbc_mundo,16,2026-03-15 02:31:00+00:00,2026-03-15 02:31
20minutos,heraldo_aragon,16,2026-03-15 02:31:00+00:00,2026-03-15 02:31
elconfidencial,google_news_politica,16,2026-03-15 02:31:00+00:00,2026-03-15 02:31
20minutos,google_news_politica,16,2026-03-15 02:31:00+00:00,2026-03-15 02:31
20minutos,eldiario,16,2026-03-15 02:31:00+00:00,2026-03-15 02:31
20minutos,lavanguardia,15,2026-03-15 02:31:00+00:00,2026-03-15 02:31
elpais,lavanguardia,15,2026-03-15 02:31:00+00:00,2026-03-15 02:31
elpais,infolibre,15,2026-03-15 02:31:00+00:00,2026-03-15 02:31
bbc_mundo,infolibre,15,2026-03-15 02:31:00+00:00,2026-03-15 02:31
bbc_mundo,elpais,15,2026-03-15 02:31:00+00:00,2026-03-15 02:31
20minutos,infolibre,15,2026-03-15 02:31:00+00:00,2026-03-15 02:31
20minutos,elpais,15,2026-03-15 02:31:00+00:00,2026-03-15 02:31
elpais,heraldo_aragon,15,2026-03-15 02:31:00+00:00,2026-03-15 02:31
expansion,infolibre,15,2026-03-15 02:31:00+00:00,2026-03-15 02:31
eldiario,google_news_politica,23,2026-03-15 03:01:00+00:00,2026-03-15 03:01
bbc_mundo,google_news_politica,23,2026-03-15 03:01:00+00:00,2026-03-15 03:01
google_news_politica,heraldo_aragon,22,2026-03-15 03:01:00+00:00,2026-03-15 03:01
eldiario,heraldo_aragon,21,2026-03-15 03:01:00+00:00,2026-03-15 03:01
google_news_politica,lavanguardia,20,2026-03-15 03:01:00+00:00,2026-03-15 03:01
bbc_mundo,heraldo_aragon,20,2026-03-15 03:01:00+00:00,2026-03-15 03:01
bbc_mundo,eldiario,20,2026-03-15 03:01:00+00:00,2026-03-15 03:01
bbc_mundo,lavanguardia,19,2026-03-15 03:01:00+00:00,2026-03-15 03:01
google_news_politica,infolibre,18,2026-03-15 03:01:00+00:00,2026-03-15 03:01
expansion,google_news_politica,18,2026-03-15 03:01:00+00:00,2026-03-15 03:01
expansion,heraldo_aragon,17,2026-03-15 03:01:00+00:00,2026-03-15 03:01
heraldo_aragon,lavanguardia,17,2026-03-15 03:01:00+00:00,2026-03-15 03:01
bbc_mundo,expansion,17,2026-03-15 03:01:00+00:00,2026-03-15 03:01
elconfidencial,google_news_politica,16,2026-03-15 03:01:00+00:00,2026-03-15 03:01
heraldo_aragon,infolibre,16,2026-03-15 03:01:00+00:00,2026-03-15 03:01
20minutos,eldiario,16,2026-03-15 03:01:00+00:00,2026-03-15 03:01
20minutos,google_news_politica,16,2026-03-15 03:01:00+00:00,2026-03-15 03:01
eldiario,lavanguardia,16,2026-03-15 03:01:00+00:00,2026-03-15 03:01
20minutos,bbc_mundo,16,2026-03-15 03:01:00+00:00,2026-03-15 03:01
20minutos,heraldo_aragon,16,2026-03-15 03:01:00+00:00,2026-03-15 03:01
eldiario,expansion,16,2026-03-15 03:01:00+00:00,2026-03-15 03:01
20minutos,lavanguardia,15,2026-03-15 03:01:00+00:00,2026-03-15 03:01
elpais,lavanguardia,15,2026-03-15 03:01:00+00:00,2026-03-15 03:01
bbc_mundo,elpais,15,2026-03-15 03:01:00+00:00,2026-03-15 03:01
elpais,infolibre,15,2026-03-15 03:01:00+00:00,2026-03-15 03:01
20minutos,elpais,15,2026-03-15 03:01:00+00:00,2026-03-15 03:01
bbc_mundo,infolibre,15,2026-03-15 03:01:00+00:00,2026-03-15 03:01
elpais,heraldo_aragon,15,2026-03-15 03:01:00+00:00,2026-03-15 03:01
20minutos,infolibre,15,2026-03-15 03:01:00+00:00,2026-03-15 03:01
eldiario,infolibre,15,2026-03-15 03:01:00+00:00,2026-03-15 03:01
bbc_mundo,google_news_politica,23,2026-03-15 03:31:00+00:00,2026-03-15 03:31
eldiario,google_news_politica,23,2026-03-15 03:31:00+00:00,2026-03-15 03:31
google_news_politica,heraldo_aragon,22,2026-03-15 03:31:00+00:00,2026-03-15 03:31
eldiario,heraldo_aragon,21,2026-03-15 03:31:00+00:00,2026-03-15 03:31
bbc_mundo,heraldo_aragon,20,2026-03-15 03:31:00+00:00,2026-03-15 03:31
bbc_mundo,eldiario,20,2026-03-15 03:31:00+00:00,2026-03-15 03:31
google_news_politica,lavanguardia,20,2026-03-15 03:31:00+00:00,2026-03-15 03:31
bbc_mundo,lavanguardia,19,2026-03-15 03:31:00+00:00,2026-03-15 03:31
expansion,google_news_politica,18,2026-03-15 03:31:00+00:00,2026-03-15 03:31
google_news_politica,infolibre,18,2026-03-15 03:31:00+00:00,2026-03-15 03:31
bbc_mundo,expansion,17,2026-03-15 03:31:00+00:00,2026-03-15 03:31
heraldo_aragon,lavanguardia,17,2026-03-15 03:31:00+00:00,2026-03-15 03:31
expansion,heraldo_aragon,17,2026-03-15 03:31:00+00:00,2026-03-15 03:31
eldiario,lavanguardia,16,2026-03-15 03:31:00+00:00,2026-03-15 03:31
heraldo_aragon,infolibre,16,2026-03-15 03:31:00+00:00,2026-03-15 03:31
20minutos,bbc_mundo,16,2026-03-15 03:31:00+00:00,2026-03-15 03:31
20minutos,heraldo_aragon,16,2026-03-15 03:31:00+00:00,2026-03-15 03:31
eldiario,expansion,16,2026-03-15 03:31:00+00:00,2026-03-15 03:31
elconfidencial,google_news_politica,16,2026-03-15 03:31:00+00:00,2026-03-15 03:31
20minutos,google_news_politica,16,2026-03-15 03:31:00+00:00,2026-03-15 03:31
20minutos,eldiario,16,2026-03-15 03:31:00+00:00,2026-03-15 03:31
20minutos,infolibre,15,2026-03-15 03:31:00+00:00,2026-03-15 03:31
elpais,lavanguardia,15,2026-03-15 03:31:00+00:00,2026-03-15 03:31
eldiario,infolibre,15,2026-03-15 03:31:00+00:00,2026-03-15 03:31
elpais,infolibre,15,2026-03-15 03:31:00+00:00,2026-03-15 03:31
elpais,heraldo_aragon,15,2026-03-15 03:31:00+00:00,2026-03-15 03:31
expansion,infolibre,15,2026-03-15 03:31:00+00:00,2026-03-15 03:31
expansion,lavanguardia,15,2026-03-15 03:31:00+00:00,2026-03-15 03:31
bbc_mundo,infolibre,15,2026-03-15 03:31:00+00:00,2026-03-15 03:31
bbc_mundo,elpais,15,2026-03-15 03:31:00+00:00,2026-03-15 03:31
eldiario,google_news_politica,23,2026-03-15 04:01:00+00:00,2026-03-15 04:01
bbc_mundo,google_news_politica,23,2026-03-15 04:01:00+00:00,2026-03-15 04:01
google_news_politica,heraldo_aragon,22,2026-03-15 04:01:00+00:00,2026-03-15 04:01
eldiario,heraldo_aragon,21,2026-03-15 04:01:00+00:00,2026-03-15 04:01
google_news_politica,lavanguardia,20,2026-03-15 04:01:00+00:00,2026-03-15 04:01
bbc_mundo,heraldo_aragon,20,2026-03-15 04:01:00+00:00,2026-03-15 04:01
bbc_mundo,lavanguardia,20,2026-03-15 04:01:00+00:00,2026-03-15 04:01
bbc_mundo,eldiario,20,2026-03-15 04:01:00+00:00,2026-03-15 04:01
google_news_politica,infolibre,18,2026-03-15 04:01:00+00:00,2026-03-15 04:01
expansion,google_news_politica,18,2026-03-15 04:01:00+00:00,2026-03-15 04:01
heraldo_aragon,lavanguardia,17,2026-03-15 04:01:00+00:00,2026-03-15 04:01
expansion,heraldo_aragon,17,2026-03-15 04:01:00+00:00,2026-03-15 04:01
bbc_mundo,expansion,17,2026-03-15 04:01:00+00:00,2026-03-15 04:01
bbc_mundo,elpais,16,2026-03-15 04:01:00+00:00,2026-03-15 04:01
heraldo_aragon,infolibre,16,2026-03-15 04:01:00+00:00,2026-03-15 04:01
20minutos,eldiario,16,2026-03-15 04:01:00+00:00,2026-03-15 04:01
20minutos,google_news_politica,16,2026-03-15 04:01:00+00:00,2026-03-15 04:01
eldiario,lavanguardia,16,2026-03-15 04:01:00+00:00,2026-03-15 04:01
20minutos,heraldo_aragon,16,2026-03-15 04:01:00+00:00,2026-03-15 04:01
eldiario,expansion,16,2026-03-15 04:01:00+00:00,2026-03-15 04:01
20minutos,bbc_mundo,16,2026-03-15 04:01:00+00:00,2026-03-15 04:01
elconfidencial,google_news_politica,16,2026-03-15 04:01:00+00:00,2026-03-15 04:01
20minutos,infolibre,15,2026-03-15 04:01:00+00:00,2026-03-15 04:01
bbc_mundo,infolibre,15,2026-03-15 04:01:00+00:00,2026-03-15 04:01
20minutos,elpais,15,2026-03-15 04:01:00+00:00,2026-03-15 04:01
20minutos,lavanguardia,15,2026-03-15 04:01:00+00:00,2026-03-15 04:01
elpais,infolibre,15,2026-03-15 04:01:00+00:00,2026-03-15 04:01
elpais,lavanguardia,15,2026-03-15 04:01:00+00:00,2026-03-15 04:01
elpais,heraldo_aragon,15,2026-03-15 04:01:00+00:00,2026-03-15 04:01
expansion,infolibre,15,2026-03-15 04:01:00+00:00,2026-03-15 04:01
eldiario,google_news_politica,23,2026-03-15 04:31:00+00:00,2026-03-15 04:31
bbc_mundo,google_news_politica,23,2026-03-15 04:31:00+00:00,2026-03-15 04:31
google_news_politica,heraldo_aragon,22,2026-03-15 04:31:00+00:00,2026-03-15 04:31
eldiario,heraldo_aragon,21,2026-03-15 04:31:00+00:00,2026-03-15 04:31
google_news_politica,lavanguardia,20,2026-03-15 04:31:00+00:00,2026-03-15 04:31
bbc_mundo,heraldo_aragon,20,2026-03-15 04:31:00+00:00,2026-03-15 04:31
bbc_mundo,lavanguardia,20,2026-03-15 04:31:00+00:00,2026-03-15 04:31
bbc_mundo,eldiario,20,2026-03-15 04:31:00+00:00,2026-03-15 04:31
google_news_politica,infolibre,18,2026-03-15 04:31:00+00:00,2026-03-15 04:31
expansion,google_news_politica,18,2026-03-15 04:31:00+00:00,2026-03-15 04:31
heraldo_aragon,lavanguardia,17,2026-03-15 04:31:00+00:00,2026-03-15 04:31
expansion,heraldo_aragon,17,2026-03-15 04:31:00+00:00,2026-03-15 04:31
bbc_mundo,expansion,17,2026-03-15 04:31:00+00:00,2026-03-15 04:31
bbc_mundo,elpais,16,2026-03-15 04:31:00+00:00,2026-03-15 04:31
heraldo_aragon,infolibre,16,2026-03-15 04:31:00+00:00,2026-03-15 04:31
20minutos,eldiario,16,2026-03-15 04:31:00+00:00,2026-03-15 04:31
20minutos,google_news_politica,16,2026-03-15 04:31:00+00:00,2026-03-15 04:31
eldiario,lavanguardia,16,2026-03-15 04:31:00+00:00,2026-03-15 04:31
20minutos,heraldo_aragon,16,2026-03-15 04:31:00+00:00,2026-03-15 04:31
eldiario,expansion,16,2026-03-15 04:31:00+00:00,2026-03-15 04:31
20minutos,bbc_mundo,16,2026-03-15 04:31:00+00:00,2026-03-15 04:31
elconfidencial,google_news_politica,16,2026-03-15 04:31:00+00:00,2026-03-15 04:31
20minutos,infolibre,15,2026-03-15 04:31:00+00:00,2026-03-15 04:31
bbc_mundo,infolibre,15,2026-03-15 04:31:00+00:00,2026-03-15 04:31
20minutos,elpais,15,2026-03-15 04:31:00+00:00,2026-03-15 04:31
20minutos,lavanguardia,15,2026-03-15 04:31:00+00:00,2026-03-15 04:31
elpais,infolibre,15,2026-03-15 04:31:00+00:00,2026-03-15 04:31
elpais,lavanguardia,15,2026-03-15 04:31:00+00:00,2026-03-15 04:31
elpais,heraldo_aragon,15,2026-03-15 04:31:00+00:00,2026-03-15 04:31
expansion,infolibre,15,2026-03-15 04:31:00+00:00,2026-03-15 04:31
eldiario,google_news_politica,23,2026-03-15 05:01:00+00:00,2026-03-15 05:01
