source,agenda_score,follower_score,times_first,times_follower,topics_total,news_count,role,last_update
newtral,100.0,0.0,1,0,1,14,Marcador de agenda,2026-04-20 23:38:05
el_confidencial_economia,66.7,33.3,2,1,3,16,Marcador de agenda,2026-04-20 23:38:05
bbc_mundo,62.5,37.5,10,6,16,40,Marcador de agenda,2026-04-20 23:38:05
elpais_internacional,56.2,43.8,9,7,16,21,Marcador de agenda,2026-04-20 23:38:05
elmundo_espana,50.0,50.0,5,5,10,20,Marcador de agenda,2026-04-20 23:38:05
elpais_espana,50.0,50.0,3,3,6,13,Marcador de agenda,2026-04-20 23:38:05
el_confidencial_tech,50.0,50.0,3,3,6,33,Marcador de agenda,2026-04-20 23:38:05
elmundo,49.4,50.6,40,41,81,170,Marcador de agenda,2026-04-20 23:38:05
google_news_internacional,48.8,51.2,101,106,207,661,Marcador de agenda,2026-04-20 23:38:05
france24_es,48.6,51.4,17,18,35,117,Marcador de agenda,2026-04-20 23:38:05
europapress,46.6,53.4,27,31,58,75,Marcador de agenda,2026-04-20 23:38:05
eldiario,46.5,53.5,40,46,86,237,Marcador de agenda,2026-04-20 23:38:05
heraldo_aragon,43.3,56.7,52,68,120,578,Marcador de agenda,2026-04-20 23:38:05
google_news_economia,42.9,57.1,21,28,49,208,Marcador de agenda,2026-04-20 23:38:05
elespanol,41.9,58.1,26,36,62,151,Marcador de agenda,2026-04-20 23:38:05
google_news_es,39.7,60.3,126,191,317,748,Mixto,2026-04-20 23:38:05
elconfidencial,37.5,62.5,9,15,24,51,Mixto,2026-04-20 23:38:05
levante_emv,36.9,63.1,86,147,233,652,Mixto,2026-04-20 23:38:05
lavanguardia,35.1,64.9,67,124,191,543,Mixto,2026-04-20 23:38:05
20minutos,34.7,65.3,77,145,222,800,Mixto,2026-04-20 23:38:05
elpais,34.3,65.7,58,111,169,423,Mixto,2026-04-20 23:38:05
sur,33.3,66.7,21,42,63,326,Mixto,2026-04-20 23:38:05
elcorreo,32.7,67.3,48,99,147,578,Mixto,2026-04-20 23:38:05
okdiario,31.7,68.3,59,127,186,669,Mixto,2026-04-20 23:38:05
google_news_politica,31.6,68.4,12,26,38,151,Mixto,2026-04-20 23:38:05
efe,28.6,71.4,2,5,7,26,Mixto,2026-04-20 23:38:05
expansion,27.9,72.1,12,31,43,116,Mixto,2026-04-20 23:38:05
huffington_es,25.5,74.5,13,38,51,279,Mixto,2026-04-20 23:38:05
elmundo_internacional,25.0,75.0,7,21,28,39,Mixto,2026-04-20 23:38:05
infolibre,13.3,86.7,2,13,15,50,Seguidor,2026-04-20 23:38:05
maldita,0.0,100.0,0,1,1,10,Seguidor,2026-04-20 23:38:05
