source,news_count,internal_diversity,originality,original_news,repeated_news,diversity_score,last_update,cycle
maldita,28,0.949,0.893,25,3,91.5,2026-03-07 15:06,2026-03-07 15:06
newtral,13,0.981,0.769,10,3,85.4,2026-03-07 15:06,2026-03-07 15:06
heraldo_aragon,367,0.985,0.698,256,111,81.3,2026-03-07 15:06,2026-03-07 15:06
expansion,106,0.992,0.66,70,36,79.3,2026-03-07 15:06,2026-03-07 15:06
levante_emv,145,0.99,0.655,95,50,78.9,2026-03-07 15:06,2026-03-07 15:06
20minutos,309,0.994,0.625,193,116,77.3,2026-03-07 15:06,2026-03-07 15:06
elcorreo,125,0.996,0.608,76,49,76.3,2026-03-07 15:06,2026-03-07 15:06
elmundo_internacional,39,0.984,0.615,24,15,76.3,2026-03-07 15:06,2026-03-07 15:06
elmundo_espana,58,0.989,0.603,35,23,75.7,2026-03-07 15:06,2026-03-07 15:06
okdiario,238,0.988,0.601,143,95,75.6,2026-03-07 15:06,2026-03-07 15:06
huffington_es,89,0.974,0.596,53,36,74.7,2026-03-07 15:06,2026-03-07 15:06
france24_es,65,0.976,0.585,38,27,74.1,2026-03-07 15:06,2026-03-07 15:06
bbc_mundo,33,0.969,0.576,19,14,73.3,2026-03-07 15:06,2026-03-07 15:06
eldiario,159,0.994,0.553,88,71,72.9,2026-03-07 15:06,2026-03-07 15:06
google_news_es,222,0.993,0.55,122,100,72.7,2026-03-07 15:06,2026-03-07 15:06
google_news_politica,69,0.958,0.565,39,30,72.2,2026-03-07 15:06,2026-03-07 15:06
lavanguardia,296,0.996,0.527,156,140,71.5,2026-03-07 15:06,2026-03-07 15:06
europapress,28,0.966,0.536,15,13,70.8,2026-03-07 15:06,2026-03-07 15:06
elmundo,69,0.996,0.507,35,34,70.3,2026-03-07 15:06,2026-03-07 15:06
elpais,237,0.996,0.498,118,119,69.7,2026-03-07 15:06,2026-03-07 15:06
infolibre,74,0.995,0.459,34,40,67.3,2026-03-07 15:06,2026-03-07 15:06
elespanol,68,0.989,0.441,30,38,66.0,2026-03-07 15:06,2026-03-07 15:06
elpais_internacional,18,0.972,0.333,6,12,58.9,2026-03-07 15:06,2026-03-07 15:06
elconfidencial,28,0.963,0.286,8,20,55.7,2026-03-07 15:06,2026-03-07 15:06
maldita,28,0.949,0.893,25,3,91.5,2026-03-07 15:32,2026-03-07 15:32
heraldo_aragon,372,0.985,0.704,262,110,81.6,2026-03-07 15:32,2026-03-07 15:32
newtral,13,0.981,0.692,9,4,80.8,2026-03-07 15:32,2026-03-07 15:32
elcorreo,128,0.996,0.641,82,46,78.3,2026-03-07 15:32,2026-03-07 15:32
okdiario,239,0.988,0.644,154,85,78.2,2026-03-07 15:32,2026-03-07 15:32
expansion,106,0.993,0.642,68,38,78.2,2026-03-07 15:32,2026-03-07 15:32
elmundo_internacional,39,0.984,0.641,25,14,77.8,2026-03-07 15:32,2026-03-07 15:32
levante_emv,146,0.99,0.63,92,54,77.4,2026-03-07 15:32,2026-03-07 15:32
20minutos,312,0.994,0.625,195,117,77.3,2026-03-07 15:32,2026-03-07 15:32
bbc_mundo,35,0.969,0.629,22,13,76.5,2026-03-07 15:32,2026-03-07 15:32
france24_es,66,0.976,0.606,40,26,75.4,2026-03-07 15:32,2026-03-07 15:32
elmundo_espana,58,0.989,0.586,34,24,74.7,2026-03-07 15:32,2026-03-07 15:32
huffington_es,91,0.973,0.593,54,37,74.5,2026-03-07 15:32,2026-03-07 15:32
eldiario,160,0.994,0.575,92,68,74.3,2026-03-07 15:32,2026-03-07 15:32
google_news_politica,70,0.958,0.571,40,30,72.6,2026-03-07 15:32,2026-03-07 15:32
google_news_es,228,0.993,0.539,123,105,72.1,2026-03-07 15:32,2026-03-07 15:32
europapress,29,0.965,0.552,16,13,71.7,2026-03-07 15:32,2026-03-07 15:32
elpais,237,0.996,0.519,123,114,71.0,2026-03-07 15:32,2026-03-07 15:32
elmundo,69,0.995,0.507,35,34,70.2,2026-03-07 15:32,2026-03-07 15:32
lavanguardia,299,0.996,0.495,148,151,69.5,2026-03-07 15:32,2026-03-07 15:32
elespanol,68,0.99,0.471,32,36,67.9,2026-03-07 15:32,2026-03-07 15:32
infolibre,75,0.995,0.467,35,40,67.8,2026-03-07 15:32,2026-03-07 15:32
elpais_internacional,18,0.972,0.389,7,11,62.2,2026-03-07 15:32,2026-03-07 15:32
elconfidencial,28,0.963,0.286,8,20,55.7,2026-03-07 15:32,2026-03-07 15:32
maldita,28,0.947,0.893,25,3,91.5,2026-03-07 16:02,2026-03-07 16:02
newtral,13,0.982,0.769,10,3,85.4,2026-03-07 16:02,2026-03-07 16:02
heraldo_aragon,382,0.985,0.699,267,115,81.3,2026-03-07 16:02,2026-03-07 16:02
elcorreo,131,0.996,0.634,83,48,77.9,2026-03-07 16:02,2026-03-07 16:02
elmundo_internacional,39,0.982,0.641,25,14,77.7,2026-03-07 16:02,2026-03-07 16:02
okdiario,241,0.988,0.635,153,88,77.6,2026-03-07 16:02,2026-03-07 16:02
levante_emv,149,0.99,0.631,94,55,77.5,2026-03-07 16:02,2026-03-07 16:02
bbc_mundo,36,0.97,0.639,23,13,77.1,2026-03-07 16:02,2026-03-07 16:02
20minutos,316,0.994,0.617,195,121,76.8,2026-03-07 16:02,2026-03-07 16:02
expansion,105,0.992,0.619,65,40,76.8,2026-03-07 16:02,2026-03-07 16:02
huffington_es,92,0.973,0.598,55,37,74.8,2026-03-07 16:02,2026-03-07 16:02
elmundo_espana,58,0.989,0.586,34,24,74.7,2026-03-07 16:02,2026-03-07 16:02
google_news_politica,71,0.957,0.592,42,29,73.8,2026-03-07 16:02,2026-03-07 16:02
france24_es,68,0.976,0.574,39,29,73.5,2026-03-07 16:02,2026-03-07 16:02
google_news_es,235,0.993,0.557,131,104,73.1,2026-03-07 16:02,2026-03-07 16:02
eldiario,162,0.994,0.549,89,73,72.7,2026-03-07 16:02,2026-03-07 16:02
europapress,29,0.964,0.552,16,13,71.7,2026-03-07 16:02,2026-03-07 16:02
elpais,237,0.996,0.515,122,115,70.7,2026-03-07 16:02,2026-03-07 16:02
lavanguardia,300,0.996,0.51,153,147,70.4,2026-03-07 16:02,2026-03-07 16:02
elmundo,70,0.996,0.5,35,35,69.8,2026-03-07 16:02,2026-03-07 16:02
elespanol,69,0.989,0.493,34,35,69.1,2026-03-07 16:02,2026-03-07 16:02
