source,news_count,internal_diversity,originality,original_news,repeated_news,diversity_score,last_update
maldita,29,0.95,0.621,18,11,75.3,2026-03-10 19:03
heraldo_aragon,773,0.98,0.523,404,369,70.6,2026-03-10 19:03
levante_emv,916,0.995,0.497,455,461,69.6,2026-03-10 19:03
okdiario,876,0.992,0.495,434,442,69.4,2026-03-10 19:03
elmundo_espana,35,0.99,0.486,17,18,68.8,2026-03-10 19:03
huffington_es,262,0.972,0.469,123,139,67.0,2026-03-10 19:03
elmundo,205,0.993,0.439,90,115,66.1,2026-03-10 19:03
google_news_es,860,0.992,0.429,369,491,65.4,2026-03-10 19:03
elcorreo,742,0.995,0.419,311,431,64.9,2026-03-10 19:03
20minutos,997,0.995,0.415,414,583,64.7,2026-03-10 19:03
france24_es,167,0.973,0.413,69,98,63.7,2026-03-10 19:03
eldiario,315,0.994,0.39,123,192,63.2,2026-03-10 19:03
expansion,190,0.992,0.379,72,118,62.4,2026-03-10 19:03
elespanol,202,0.992,0.376,76,126,62.2,2026-03-10 19:03
elpais,506,0.994,0.368,186,320,61.8,2026-03-10 19:03
newtral,27,0.981,0.37,10,17,61.4,2026-03-10 19:03
lavanguardia,718,0.992,0.35,251,467,60.7,2026-03-10 19:03
elconfidencial,61,0.992,0.328,20,41,59.4,2026-03-10 19:03
google_news_politica,77,0.954,0.351,27,50,59.2,2026-03-10 19:03
infolibre,80,0.993,0.312,25,55,58.4,2026-03-10 19:03
bbc_mundo,31,0.969,0.323,10,21,58.1,2026-03-10 19:03
elmundo_internacional,26,0.987,0.269,7,19,55.6,2026-03-10 19:03
elpais_internacional,34,0.976,0.206,7,27,51.4,2026-03-10 19:03
europapress,110,0.987,0.109,12,98,46.0,2026-03-10 19:03
