emotion,count,last_update,cycle
Neutral,1263,2026-03-06 22:29,2026-03-06 22:29
Miedo,118,2026-03-06 22:29,2026-03-06 22:29
Sorpresa,66,2026-03-06 22:29,2026-03-06 22:29
Alegría,59,2026-03-06 22:29,2026-03-06 22:29
Tristeza,54,2026-03-06 22:29,2026-03-06 22:29
Ira,46,2026-03-06 22:29,2026-03-06 22:29
Neutral,1267,2026-03-06 22:37,2026-03-06 22:37
Miedo,119,2026-03-06 22:37,2026-03-06 22:37
Sorpresa,66,2026-03-06 22:37,2026-03-06 22:37
Alegría,60,2026-03-06 22:37,2026-03-06 22:37
Tristeza,54,2026-03-06 22:37,2026-03-06 22:37
Ira,46,2026-03-06 22:37,2026-03-06 22:37
Neutral,1271,2026-03-06 22:42,2026-03-06 22:42
Miedo,121,2026-03-06 22:42,2026-03-06 22:42
Sorpresa,66,2026-03-06 22:42,2026-03-06 22:42
Alegría,63,2026-03-06 22:42,2026-03-06 22:42
Tristeza,54,2026-03-06 22:42,2026-03-06 22:42
Ira,47,2026-03-06 22:42,2026-03-06 22:42
Neutral,1283,2026-03-06 22:56,2026-03-06 22:56
Miedo,121,2026-03-06 22:56,2026-03-06 22:56
Sorpresa,67,2026-03-06 22:56,2026-03-06 22:56
Alegría,64,2026-03-06 22:56,2026-03-06 22:56
Tristeza,55,2026-03-06 22:56,2026-03-06 22:56
Ira,47,2026-03-06 22:56,2026-03-06 22:56
