ccaa,code,mentions,top_sources,top_titles,last_update
Andalucía,ES-AN,268,"{'sur': 79, 'google_news_internacional': 31, 'okdiario': 30}",¿Qué está pasando con el autobronceador en la Feria de Sevilla? | Investigan a una persona en Almería por venta online ilegal de alfombras de piel auténtica de león | Susto en la Feria de Sevilla: dos niños se quedan colgando de una atracción tras romperse una cuerda,2026-04-25 11:42
Madrid,ES-MD,252,"{'20minutos': 42, 'google_news_es': 42, 'okdiario': 30}","Valencia cede ante los funcionarios: reducirá su jornada a 35 horas y deja sola a Madrid con las jornadas más largas de España - Infobae | Mónica García anuncia que regresará a la Comunidad de Madrid para enfrentar a Ayuso: ""Quiero que se vaya"" | La ministra Mónica García anuncia que optará a las primarias de Más Madrid para disputar la Comunidad a Ayuso",2026-04-25 11:42
Aragón,ES-AR,134,"{'heraldo_aragon': 100, 'google_news_economia': 7, 'google_news_internacional': 5}","El buen tiempo anima a disfrutar de las Fiestas Goyescas en Zaragoza: ""Vengo todos los años a repetir la foto con sus cuadros"" | El disparo del cohete abre nueve intensos días de fiestas del barrio de San Lorenzo en Huesca | Vídeo | El buen tiempo anima a disfrutar de las Fiestas Goyescas en Zaragoza",2026-04-25 11:42
Cataluña,ES-CT,109,"{'okdiario': 17, 'lavanguardia': 16, '20minutos': 16}","Laporta, al borde de poner su nombre a la peor época de la historia del Barcelona de baloncesto | Cuatro detenidos por un robo mediante la técnica del butrón en una tienda de telefonía en Barcelona | Un hombre se encuentra en estado grave tras ser tiroteado a la salida de un comercio en Barcelona",2026-04-25 11:42
Comunidad Valenciana,ES-VC,98,"{'levante_emv': 30, 'google_news_internacional': 13, 'okdiario': 11}",Valencia cede ante los funcionarios: reducirá su jornada a 35 horas y deja sola a Madrid con las jornadas más largas de España - Infobae | Detenido un hombre en Benissa (Alicante) fugado de Polonia por pertenecer a una organización criminal de tráfico de drogas | La mayoría del profesorado valenciano avala una huelga indefinida desde el 11 de mayo,2026-04-25 11:42
Castilla y León,ES-CL,75,"{'google_news_internacional': 20, '20minutos': 11, 'okdiario': 8}","Sol, música y baile: Zamora celebra el Día Internacional de la Danza - Zamora24horas | GALERÍA | El Día Internacional de la Danza en Zamora, en imágenes - Zamora24horas | Ernesto Ekaizer ve estas palabras del papa León XIV y le describe de una forma que no le hará ninguna gracia a Ayuso",2026-04-25 11:42
Galicia,ES-GA,59,"{'google_news_internacional': 10, 'google_news_economia': 8, '20minutos': 6}","Varios terremotos de hasta 3,9 de magnitud sacuden la provincia de Lugo | Detenidas en Vigo tres mujeres de una misma familia por un presunto entramado de trata y explotación sexual | Saic Motor escoge España para su fábrica europea de eléctricos y relega a Hungría - El Progreso de Lugo",2026-04-25 11:42
Baleares,ES-IB,57,"{'okdiario': 29, 'google_news_internacional': 9, 'elcorreo': 3}","Detenido un ecuatoriano en Palma por romper a golpes los retrovisores de cinco coches en Son Gotleu | Boyé, titular en la final ante el Mallorca | «Paga 50.000 euros o tu familia morirá»: la brutal extorsión que ha acabado con tres detenidos en Palma",2026-04-25 11:42
Murcia,ES-MC,52,"{'google_news_internacional': 15, 'okdiario': 9, 'levante_emv': 8}","El Biobanco del IMIB de Murcia logra reconocimiento internacional por su calidad - Cartagena Diario | Boyé, titular en la final ante el Mallorca | Over Club acoge el clímax de su temporada con el regreso de ‘Papa’ Sven Väth en Mallorca",2026-04-25 11:42
Extremadura,ES-EX,40,"{'google_news_internacional': 7, 'google_news_es': 5, 'okdiario': 4}","Roban de noche en el Museo Arqueológico de Badajoz tras forzar una reja | Pedro Sánchez reafirma que el PSOE está ""de vuelta"" en Extremadura para hacer frente al ""momento crítico"" de la región | Roban 149 monedas del Tesoro de Villanueva el Museo Arqueológico de Badajoz",2026-04-25 11:42
País Vasco,ES-PV,39,"{'elcorreo': 27, 'google_news_internacional': 7, 'okdiario': 2}",Detenido en Euskadi tras hacerse un bizum de 200 euros desde el móvil que arreglaba a una clienta | Nublados y chubascos en Bilbao: AEMET prevé cambios en el tiempo y vientos suaves | Acciona asumirá desde junio y durante una década la limpieza de Vitoria,2026-04-25 11:42
Asturias,ES-AS,35,"{'google_news_es': 13, 'levante_emv': 5, '20minutos': 2}",Hallan a un matrimonio tiroteado en su cama en Lena (Asturias) | Hallan a un matrimonio muerto en su domicilio de Lena (Asturias) | Hallan a un hombre muerto y a su esposa gravemente herida por disparos en su casa de Asturias,2026-04-25 11:42
Canarias,ES-CN,34,"{'google_news_internacional': 9, '20minutos': 6, 'okdiario': 4}","Muere Ángel Sánchez, exfutbolista de Las Palmas, a los 49 años | Jamás volverás a verla en España: este ave endémica de Canarias desapareció en 1913 y no se ha vuelto a saber nada | Los saharauis en Canarias que se quedan fuera de la regularización extraordinaria: ''Es humillante y una discriminación''",2026-04-25 11:42
Castilla-La Mancha,ES-CM,31,"{'google_news_internacional': 6, 'elespanol': 5, 'google_news_es': 5}","Coro Voces de Toledo – Coro RosaMystica: Encuentro Coral Internacional - Toledo Entradas | Albacete acogerá la cuarta edición de la Feria Internacional del Queso - Vivir Ediciones | Muere corneado el ganadero Santiago Barrero, propietario del hierro San Román de Villamanrique (Ciudad Real)",2026-04-25 11:42
Cantabria,ES-CB,15,"{'google_news_economia': 5, 'okdiario': 2, 'google_news_es': 1}","El incendio de Santander de 1941: qué ocurrió realmente | Rosa Sainz de la Maza, de la Delegación de Misiones: “La Jornada de vocaciones nativas se considera la obra misional más cristiana” - Diócesis de Santander | El ingeniero que firmó el proyecto de la pasarela de El Bocal en Santander será investigado",2026-04-25 11:42
Navarra,ES-NC,12,"{'google_news_internacional': 8, '20minutos': 1, 'levante_emv': 1}",El Longevity Lab de la Universidad de Navarra aborda el reto de un nuevo modelo de envejecimiento | Los clubes de lectura celebran el trigésimo aniversario del Programa Municipal de Cooperación Internacional con diferentes actividades - Diario de Navarra | La danza toma la calle en Pamplona para celebrar su día internacional - Onda Cero,2026-04-25 11:42
La Rioja,ES-RI,10,"{'google_news_economia': 4, 'google_news_es': 1, 'eldiario': 1}","La OMS, UNICEF y Gavi vacunan a 18,3 millones de niños afectados por las interrupciones Covid - La Rioja | Esta ruta entre viñedos pasa por un pueblo con una muralla medieval y es perfecta para completar una escapada a La Rioja | La Rioja Alta, la bodega de las tres denominaciones",2026-04-25 11:42
Ceuta,ES-CE,5,"{'google_news_internacional': 2, 'lavanguardia': 1, 'elpais': 1}",Así es el interior del narcotúnel descubierto en Ceuta | Bóveda de piedra y aspecto de mina: así es el último narcotúnel localizado en Ceuta | La Policía logra entrar al narco túnel de Ceuta tras tres semanas de achicar agua: primeras imágenes,2026-04-25 11:42
Melilla,ES-ML,1,{'sur': 1},Melilla mira a Málaga para reforzar su proyección turística,2026-04-25 11:42
