source,count,alignment,alignment_score,last_update
20minutos,6438,Contra-Gobierno,-0.08,2026-03-27 17:01
heraldo_aragon,5346,Contra-Gobierno,-0.08,2026-03-27 17:01
levante_emv,5328,Contra-Gobierno,-0.1,2026-03-27 17:01
google_news_es,5115,Contra-Gobierno,-0.08,2026-03-27 17:01
okdiario,5050,Contra-Gobierno,-0.08,2026-03-27 17:01
lavanguardia,4587,Contra-Gobierno,-0.08,2026-03-27 17:01
elcorreo,4340,Contra-Gobierno,-0.08,2026-03-27 17:01
elpais,3400,Contra-Gobierno,-0.1,2026-03-27 17:01
google_news_internacional,2472,Contra-Gobierno,-0.02,2026-03-27 17:01
eldiario,2086,Contra-Gobierno,-0.14,2026-03-27 17:01
huffington_es,1815,Contra-Gobierno,-0.08,2026-03-27 17:01
sur,1446,Contra-Gobierno,-0.11,2026-03-27 17:01
expansion,1390,Pro-Gobierno,0.07,2026-03-27 17:01
elespanol,1313,Contra-Gobierno,-0.14,2026-03-27 17:01
elmundo,1246,Contra-Gobierno,-0.1,2026-03-27 17:01
google_news_economia,1176,Pro-Gobierno,0.03,2026-03-27 17:01
france24_es,984,Contra-Gobierno,-0.04,2026-03-27 17:01
google_news_politica,972,Pro-Gobierno,0.25,2026-03-27 17:01
europapress,682,Contra-Gobierno,-0.16,2026-03-27 17:01
infolibre,668,Contra-Gobierno,-0.16,2026-03-27 17:01
elconfidencial,372,Contra-Gobierno,-0.14,2026-03-27 17:01
elmundo_espana,329,Contra-Gobierno,-0.2,2026-03-27 17:01
bbc_mundo,314,Pro-Gobierno,0.02,2026-03-27 17:01
elmundo_internacional,264,Neutral,0.0,2026-03-27 17:01
maldita,258,Pro-Gobierno,0.05,2026-03-27 17:01
elpais_internacional,185,Contra-Gobierno,-0.02,2026-03-27 17:01
newtral,184,Contra-Gobierno,-0.1,2026-03-27 17:01
el_confidencial_tech,145,Contra-Gobierno,-0.02,2026-03-27 17:01
efe,108,Contra-Gobierno,-0.08,2026-03-27 17:01
el_confidencial_economia,57,Neutral,0.0,2026-03-27 17:01
