source,count,alignment,alignment_score,last_update,cycle
20minutos,8818,Contra-Gobierno,-0.08,2026-04-07 22:08:00+00:00,2026-04-07 22:08
google_news_es,8752,Contra-Gobierno,-0.07,2026-04-07 22:08:00+00:00,2026-04-07 22:08
okdiario,8033,Contra-Gobierno,-0.08,2026-04-07 22:08:00+00:00,2026-04-07 22:08
levante_emv,7935,Contra-Gobierno,-0.1,2026-04-07 22:08:00+00:00,2026-04-07 22:08
heraldo_aragon,7530,Contra-Gobierno,-0.07,2026-04-07 22:08:00+00:00,2026-04-07 22:08
elcorreo,6624,Contra-Gobierno,-0.07,2026-04-07 22:08:00+00:00,2026-04-07 22:08
lavanguardia,6278,Contra-Gobierno,-0.08,2026-04-07 22:08:00+00:00,2026-04-07 22:08
google_news_internacional,5685,Contra-Gobierno,-0.02,2026-04-07 22:08:00+00:00,2026-04-07 22:08
elpais,4880,Contra-Gobierno,-0.09,2026-04-07 22:08:00+00:00,2026-04-07 22:08
eldiario,3001,Contra-Gobierno,-0.13,2026-04-07 22:08:00+00:00,2026-04-07 22:08
huffington_es,2709,Contra-Gobierno,-0.07,2026-04-07 22:08:00+00:00,2026-04-07 22:08
sur,2602,Contra-Gobierno,-0.09,2026-04-07 22:08:00+00:00,2026-04-07 22:08
google_news_economia,2422,Pro-Gobierno,0.05,2026-04-07 22:08:00+00:00,2026-04-07 22:08
elespanol,2002,Contra-Gobierno,-0.12,2026-04-07 22:08:00+00:00,2026-04-07 22:08
expansion,1926,Pro-Gobierno,0.06,2026-04-07 22:08:00+00:00,2026-04-07 22:08
elmundo,1904,Contra-Gobierno,-0.09,2026-04-07 22:08:00+00:00,2026-04-07 22:08
google_news_politica,1721,Pro-Gobierno,0.24,2026-04-07 22:08:00+00:00,2026-04-07 22:08
france24_es,1523,Contra-Gobierno,-0.03,2026-04-07 22:08:00+00:00,2026-04-07 22:08
europapress,1022,Contra-Gobierno,-0.15,2026-04-07 22:08:00+00:00,2026-04-07 22:08
infolibre,973,Contra-Gobierno,-0.16,2026-04-07 22:08:00+00:00,2026-04-07 22:08
elconfidencial,580,Contra-Gobierno,-0.12,2026-04-07 22:08:00+00:00,2026-04-07 22:08
bbc_mundo,461,Neutral,0.0,2026-04-07 22:08:00+00:00,2026-04-07 22:08
elmundo_espana,446,Contra-Gobierno,-0.21,2026-04-07 22:08:00+00:00,2026-04-07 22:08
elmundo_internacional,393,Contra-Gobierno,-0.04,2026-04-07 22:08:00+00:00,2026-04-07 22:08
maldita,336,Pro-Gobierno,0.06,2026-04-07 22:08:00+00:00,2026-04-07 22:08
elpais_internacional,280,Contra-Gobierno,-0.04,2026-04-07 22:08:00+00:00,2026-04-07 22:08
el_confidencial_tech,262,Contra-Gobierno,-0.01,2026-04-07 22:08:00+00:00,2026-04-07 22:08
newtral,248,Contra-Gobierno,-0.09,2026-04-07 22:08:00+00:00,2026-04-07 22:08
efe,172,Contra-Gobierno,-0.06,2026-04-07 22:08:00+00:00,2026-04-07 22:08
el_confidencial_economia,95,Contra-Gobierno,-0.01,2026-04-07 22:08:00+00:00,2026-04-07 22:08
elpais_espana,24,Contra-Gobierno,-0.33,2026-04-07 22:08:00+00:00,2026-04-07 22:08
efe_espana,9,Neutral,0.0,2026-04-07 22:08:00+00:00,2026-04-07 22:08
20minutos,8818,Contra-Gobierno,-0.08,2026-04-07 22:11:00+00:00,2026-04-07 22:11
