source,title,date,link,hate_words,hate_score,detected_at
okdiario,Abascal denuncia en Andalucía que «el fanatismo verde mata como mató en la dana de Valencia»,2026-04-25 14:06:13+00:00,https://okdiario.com/espana/abascal-denuncia-andalucia-que-fanatismo-verde-mata-como-mato-dana-valencia-16675868,"mata, mató",2.0,2026-04-27 00:04
google_news_economia,"España lidera la subida de precios en Europa: la inflación se dispara al 3,4% y golpea el poder adquisitivo - gaceta.es",2026-04-14 13:32:07+00:00,https://news.google.com/rss/articles/CBMi3wFBVV95cUxQODRfdXpFVjdKbng2QklmVlB6Z3dOdGU4dDhERjN2RDdZejJHdzFrUTVGUURpQmxLQi1QWkl0TEZLWjdic2VvS2pRNXFRX1JGaC1jNlh6b215WURmczBiNEZFMzFBTnRJN1Vkdk1VTERBTXhaNmdJdEFMWV96V1R3c0I1WnFMMjZkdFAwZHhzSHFac0NyQnNLbWN2OTFvX1NaczdhNU5RSWJoMFh3TjlHOFhxS1A1OXVZaUxPRmxLREZKVUxBZk8xRXU4RUs2aDg0TzI1ZW9MckFQdzdGU3Qw0gHkAUFVX3lxTFB0R29uUWMwRkNXd1UyUXJmekFrN3NQSkdlZXVIVFZZX2RvME1tT29ndjJXRXFySnpFb0kxa2VfT1ZBUzdrRm1EcldDRktBcVVIa0RTSG9OTF92R0Z3RjItZWMwRmlkbWhfX0ZQMF9RTzhobzhWWm1lT0RVWUF1WjZELUFYRkU4Y2kxLU5Fay1WTElXRGliVlV4YlU2bktoajA0SS05VFFMY2JfaS1yUDR5LWZOSE9PUXBiRC1tVVFKSF9HNXNIRGx3Vk55Rmk4LWFoTFVOMkNFV09rSGxrdXdMWllfaw?oc=5,"dispara, golpea",2.0,2026-04-27 00:04
okdiario,Sinner amenaza a Alcaraz: se aprieta la pelea por el número uno del mundo,2026-03-30 09:22:44+00:00,https://okdiario.com/deportes/sinner-amenaza-alcaraz-aprieta-pelea-numero-uno-del-mundo-16508734,"amenaza, pelea",2.0,2026-04-27 00:04
elpais,Un alumno dispara con una escopeta en una escuela argentina y mata a un compañero de 13 años,2026-03-30 15:12:35+00:00,https://elpais.com/argentina/2026-03-30/un-alumno-dispara-con-una-escopeta-en-una-escuela-argentina-y-mata-a-un-companero-de-13-anos.html,"dispara, mata",2.0,2026-04-27 00:04
20minutos,"Una explosión masiva: EEUU ataca Isfahán, sede del programa nuclear iraní, con bombas 'revienta búnker'",2026-03-31 08:08:48+00:00,https://www.20minutos.es/internacional/una-explosion-masiva-columnas-fuego-varios-metros-trump-comparte-un-video-un-ataque-militar-sin-detallar-ubicacion_6952832_0.html,"explosión, ataca",2.0,2026-04-27 00:04
elespanol,Sánchez consuma su asalto a Indra y amenaza a un Ibex que le daba por amortizado,2026-04-05 00:35:52+00:00,https://www.elespanol.com/invertia/empresas/20260405/sanchez-consuma-asalto-indra-amenaza-ibex-daba-amortizado/1003744192895_0.html,"asalto, amenaza",2.0,2026-04-27 00:04
europapress,Apuñala a los padres de su expareja tras un altercado en una vivienda en Málaga,2026-04-07 08:00:45+00:00,https://www.europapress.es/andalucia/malaga-00356/noticia-apunala-padres-expareja-altercado-vivienda-malaga-20260407100045.html,"apuñala, altercado",2.0,2026-04-27 00:04
20minutos,"EEUU bombardea la isla de Kharg, punto clave iraní en Ormuz, y Teherán ataca un complejo petroquímico",2026-04-07 12:31:16+00:00,https://www.20minutos.es/internacional/eeuu-bombardea-isla-jarg-punto-clave-irani-ormuz-israel-lanza-una-oleada-ataques-iran_6955095_0.html,"bombardea, ataca",2.0,2026-04-27 00:04
lavanguardia,"El vandalismo golpea el Templo de Debod, un monumento único de 2.000 años",2026-04-11 08:32:29+00:00,https://www.lavanguardia.com/local/madrid/20260411/11511005/vandalismo-golpea-templo-debod-monumento-mas-2-000-anos.html,"vandalismo, golpea",2.0,2026-04-27 00:04
20minutos,"El vandalismo golpea el Templo de Debod, un monumento único de más de 2.000 años en Madrid",2026-04-11 11:22:15+00:00,https://www.20minutos.es/madrid/vandalismo-golpea-templo-debod-un-monumento-unico-mas-2-000-anos-madrid_6956881_0.html,"vandalismo, golpea",2.0,2026-04-27 00:04
