source,title,date,link,hate_words,hate_score,detected_at,cycle
20minutos,"EEUU bombardea Kharg, epicentro petrolero de Irán, que ataca Israel, el Golfo y amenaza infraestructuras energéticas",2026-03-14 07:26:20+00:00,https://www.20minutos.es/internacional/guerra-iran-directo-ultima-hora-ataques-oriente-medio-trump-teheran_6945961_6.html,"bombardea, ataca, amenaza",3.0,2026-04-15 00:04:00+00:00,2026-04-15 00:04
google_news_economia,"España lidera la subida de precios en Europa: la inflación se dispara al 3,4% y golpea el poder adquisitivo - gaceta.es",2026-04-14 13:32:07+00:00,https://news.google.com/rss/articles/CBMi3wFBVV95cUxQODRfdXpFVjdKbng2QklmVlB6Z3dOdGU4dDhERjN2RDdZejJHdzFrUTVGUURpQmxLQi1QWkl0TEZLWjdic2VvS2pRNXFRX1JGaC1jNlh6b215WURmczBiNEZFMzFBTnRJN1Vkdk1VTERBTXhaNmdJdEFMWV96V1R3c0I1WnFMMjZkdFAwZHhzSHFac0NyQnNLbWN2OTFvX1NaczdhNU5RSWJoMFh3TjlHOFhxS1A1OXVZaUxPRmxLREZKVUxBZk8xRXU4RUs2aDg0TzI1ZW9MckFQdzdGU3Qw0gHkAUFVX3lxTFB0R29uUWMwRkNXd1UyUXJmekFrN3NQSkdlZXVIVFZZX2RvME1tT29ndjJXRXFySnpFb0kxa2VfT1ZBUzdrRm1EcldDRktBcVVIa0RTSG9OTF92R0Z3RjItZWMwRmlkbWhfX0ZQMF9RTzhobzhWWm1lT0RVWUF1WjZELUFYRkU4Y2kxLU5Fay1WTElXRGliVlV4YlU2bktoajA0SS05VFFMY2JfaS1yUDR5LWZOSE9PUXBiRC1tVVFKSF9HNXNIRGx3Vk55Rmk4LWFoTFVOMkNFV09rSGxrdXdMWllfaw?oc=5,"dispara, golpea",2.0,2026-04-15 00:04:00+00:00,2026-04-15 00:04
google_news_politica,Miguel Ángel Rodríguez insulta y señala a los votantes del PSOE: “Son criminales a los que vota un tercio de españoles podrido” - ElPlural.com,2026-04-14 05:50:30+00:00,https://news.google.com/rss/articles/CBMi4AFBVV95cUxPcmFueHBqelJFQ2xHSUtfY1FCb3JYaF9qRzQzbEFvNkZQem9oT1k0dGt1TG5JRWxxSDdKNHNDSHFvNV9SV0RPQ0pRRmFNNDFDaGxwUno2SDY1NjVDR0VDbmlmVU11WEMyZU5CVDJ1RXktM2ZLSnl0NnpPekxSR2dWWkk5NlVDSkVldWxDRDdwOXAwZDBVTEhrbVlSZms4RVpKYnRqQ3UzNDA4LXVEZkZ0V3ZYVUhYMHdLYU1tV3JscTFiNWFleG13RktBeXY5OVRGc1pWX0xNVklmalRXdWpLctIB5gFBVV95cUxNSEw5MHR2QkRaRkJHb1ZLMFp2aUYxcnZVeDd0RUdBSnEyZGRXMVY2WHhaQTR6NkItSmtFTGZpbEFESVA2TWgxR0hxN2VZZVhxUUk3bzFXVExGbGNEaWpoaTNWcV83eG81UGpXS3E5aHdjTFdXbXU4QjhTeGFvMlppdFFDeDVkdkZ4V0tvYXREbm5LTWNhdmJVZ1h1ZW9fYjBTYW8tam81T0V1bFk2RWEtZjFzVm5LUmZnUTE1czh0TWpEbzlPd3VGbldHRFpvcl9fYm5rNkxaUnJnR3NFdVVFS2I4SURJUQ?oc=5,"insulta, criminales",2.0,2026-04-15 00:04:00+00:00,2026-04-15 00:04
20minutos,"EEUU bombardea la isla de Kharg, epicentro petrolero de Irán, que ataca un importante puerto de reserva de crudo en Emiratos Árabes",2026-03-14 07:26:20+00:00,https://www.20minutos.es/internacional/guerra-iran-directo-ultima-hora-ataques-oriente-medio-trump-teheran_6945961_6.html,"bombardea, ataca",2.0,2026-04-15 00:04:00+00:00,2026-04-15 00:04
20minutos,"EEUU bombardea Kharg, epicentro petrolero de Irán, que ataca Israel, el Golfo y apunta a la infraestructura energética de EEUU",2026-03-14 07:26:20+00:00,https://www.20minutos.es/internacional/guerra-iran-directo-ultima-hora-ataques-oriente-medio-trump-teheran_6945961_6.html,"bombardea, ataca",2.0,2026-04-15 00:04:00+00:00,2026-04-15 00:04
20minutos,"Trump bombardea la isla de Kharg, epicentro petrolero de Irán, que amenaza con destruir la infraestructura energética de EEUU",2026-03-14 19:28:38+00:00,https://www.20minutos.es/internacional/trump-bombardea-isla-kharg-epicentro-petrolero-iran-amenaza-destruir-infraestructura-energetica-eeuu_6945976_0.html,"bombardea, amenaza",2.0,2026-04-15 00:04:00+00:00,2026-04-15 00:04
heraldo_aragon,"La guerra dispara ya un 25,5 % el diésel en Aragón y amenaza su industria y transporte",2026-03-15 04:00:00+00:00,https://www.heraldo.es/noticias/aragon/2026/03/15/la-guerra-dispara-ya-un-25-5-el-diesel-en-aragon-y-amenaza-su-industria-y-transporte-1902294.html,"dispara, amenaza",2.0,2026-04-15 00:04:00+00:00,2026-04-15 00:04
20minutos,Claude y Proyecto Maven: así explota EEUU la inteligencia artificial para arrasar objetivos iraníes en tiempo y precisión de récord,2026-03-16 04:00:00+00:00,https://www.20minutos.es/internacional/claude-proyecto-maven-asi-esta-explotando-eeuu-inteligencia-artificial-para-atacar-objetivos-iranies_6945793_0.html,"explota, arrasar",2.0,2026-04-15 00:04:00+00:00,2026-04-15 00:04
okdiario,"Cuando atacan una sinagoga, atacan a Europa",2026-03-16 18:10:49+00:00,https://okdiario.com/opinion/cuando-atacan-sinagoga-atacan-europa-16428763,"atacan, atacan",2.0,2026-04-15 00:04:00+00:00,2026-04-15 00:04
okdiario,El euríbor se dispara en marzo y amenaza con subir las hipotecas ya el 1 de abril,2026-03-17 13:41:43+00:00,https://okdiario.com/economia/euribor-dispara-marzo-amenaza-subir-hipotecas-ya-1-abril-16434378,"dispara, amenaza",2.0,2026-04-15 00:04:00+00:00,2026-04-15 00:04
