keyword,delta,count_last,count_prev,pct_change,last_update
internacional,-2027,481019,483046,-0.4,2026-04-25 05:08
málaga,-738,126879,127617,-0.6,2026-04-25 05:08
final,-669,84517,85186,-0.8,2026-04-25 05:08
nacional,-448,94971,95419,-0.5,2026-04-25 05:08
diario,-415,97880,98295,-0.4,2026-04-25 05:08
anuncia,-223,79140,79363,-0.3,2026-04-25 05:08
aragón,-218,89427,89645,-0.2,2026-04-25 05:08
mundial,-103,91650,91753,-0.1,2026-04-25 05:08
regularización,-56,81919,81975,-0.1,2026-04-25 05:08
español,-43,78428,78471,-0.1,2026-04-25 05:08
