keyword,delta,count_last,count_prev,pct_change,last_update
trump,776,141693,140917,0.6,2026-03-20 05:32
aragón,768,56559,55791,1.4,2026-03-20 05:32
guerra,497,215995,215498,0.2,2026-03-20 05:32
internacional,336,207357,207021,0.2,2026-03-20 05:32
sánchez,307,95246,94939,0.3,2026-03-20 05:32
ormuz,274,52360,52086,0.5,2026-03-20 05:32
málaga,222,73774,73552,0.3,2026-03-20 05:32
castilla león,166,53330,53164,0.3,2026-03-20 05:32
león,165,62031,61866,0.3,2026-03-20 05:32
castilla,164,58529,58365,0.3,2026-03-20 05:32
israel,15,101128,101113,0.0,2026-03-20 05:32
elecciones,7,52593,52586,0.0,2026-03-20 05:32
psoe,7,48432,48425,0.0,2026-03-20 05:32
