source,news_count,intensity_index,last_update
20minutos,9625,100.0,2026-04-24 20:38
google_news_es,9556,99.3,2026-04-24 20:38
okdiario,9084,94.4,2026-04-24 20:38
levante_emv,8468,88.0,2026-04-24 20:38
google_news_internacional,8462,87.9,2026-04-24 20:38
elcorreo,7314,76.0,2026-04-24 20:38
heraldo_aragon,7314,76.0,2026-04-24 20:38
lavanguardia,5705,59.3,2026-04-24 20:38
elpais,5267,54.7,2026-04-24 20:38
sur,3896,40.5,2026-04-24 20:38
google_news_economia,3548,36.9,2026-04-24 20:38
eldiario,3270,34.0,2026-04-24 20:38
huffington_es,3004,31.2,2026-04-24 20:38
elespanol,2260,23.5,2026-04-24 20:38
expansion,2126,22.1,2026-04-24 20:38
elmundo,2121,22.0,2026-04-24 20:38
google_news_politica,1721,17.9,2026-04-24 20:38
france24_es,1602,16.6,2026-04-24 20:38
europapress,1126,11.7,2026-04-24 20:38
infolibre,893,9.3,2026-04-24 20:38
elconfidencial,705,7.3,2026-04-24 20:38
elmundo_espana,517,5.4,2026-04-24 20:38
bbc_mundo,513,5.3,2026-04-24 20:38
elmundo_internacional,424,4.4,2026-04-24 20:38
el_confidencial_tech,393,4.1,2026-04-24 20:38
maldita,319,3.3,2026-04-24 20:38
elpais_internacional,289,3.0,2026-04-24 20:38
newtral,273,2.8,2026-04-24 20:38
efe,266,2.8,2026-04-24 20:38
el_confidencial_economia,135,1.4,2026-04-24 20:38
elpais_espana,130,1.4,2026-04-24 20:38
efe_espana,24,0.2,2026-04-24 20:38
