cluster,cluster_label,count,last_update,cycle
0,2026 años madrid marzo tras,1832,2026-03-07 09:21,2026-03-07 09:21
1,españa gobierno política sánchez trump,245,2026-03-07 09:21,2026-03-07 09:21
2,039 quot real sánchez zaragoza,70,2026-03-07 09:21,2026-03-07 09:21
3,ee irán israel trump uu,201,2026-03-07 09:21,2026-03-07 09:21
4,españa guerra irán sánchez trump,155,2026-03-07 09:21,2026-03-07 09:21
0,2026 españa madrid marzo tras,1970,2026-03-07 09:30,2026-03-07 09:30
1,039 quot real sánchez zaragoza,73,2026-03-07 09:30,2026-03-07 09:30
2,10 20 años blanca casa,105,2026-03-07 09:30,2026-03-07 09:30
3,2025 jornada país política sánchez,54,2026-03-07 09:30,2026-03-07 09:30
4,españa guerra irán sánchez trump,365,2026-03-07 09:30,2026-03-07 09:30
0,españa gobierno política sánchez trump,192,2026-03-07 10:00,2026-03-07 10:00
1,2026 años madrid marzo tras,1930,2026-03-07 10:00,2026-03-07 10:00
2,039 guerra quot sánchez zaragoza,76,2026-03-07 10:00,2026-03-07 10:00
3,ee irán israel trump uu,245,2026-03-07 10:00,2026-03-07 10:00
4,guerra irán israel oriente sánchez,163,2026-03-07 10:00,2026-03-07 10:00
