cluster,cluster_label,count,last_update
0,000 10 españa euros millones,1416,2026-04-14 15:01:06+00:00
1,años deportivo internacional irán mundo,530,2026-04-14 15:01:06+00:00
2,com economía egipto españa guerra,2370,2026-04-14 15:01:06+00:00
3,alcaraz carlos masters montecarlo sinner,323,2026-04-14 15:01:06+00:00
4,españa internacional irán nuevo presidente,657,2026-04-14 15:01:06+00:00
5,directo guerra irán israel trump,2968,2026-04-14 15:01:06+00:00
6,2026 com día internacional pueblo,2268,2026-04-14 15:01:06+00:00
7,artemis astronautas ii luna misión,939,2026-04-14 15:01:06+00:00
8,años dos quot semana zaragoza,24073,2026-04-14 15:01:06+00:00
9,atlético barcelona bayern madrid real,1139,2026-04-14 15:01:06+00:00
10,españa europa internacional press trump,502,2026-04-14 15:01:06+00:00
11,años detenido dos tras trump,1600,2026-04-14 15:01:06+00:00
12,aitana china españa pedro sánchez,798,2026-04-14 15:01:06+00:00
13,2026 abril comprobar horóscopo hoy,1108,2026-04-14 15:01:06+00:00
14,elecciones hungría magyar orbán país,966,2026-04-14 15:01:06+00:00
