id,title,link,published,source,summary,ingestion_ts
14,Así gestionan nuestros vecinos europeos la expansión de Airbnb,https://elpais.com/internacional/2020/02/21/sonar_europe/1582302332_702790.html#?ref=rss&format=simple&link=link,"Wed, 26 Feb 2020 20:05:03 +0200",El País,"París, Roma o Berlín optan por modelos diferentes para abordar las consecuencias en el mercado turístico e inmobiliario",2026-03-06 15:10:00
6,Trump nombra al vicepresidente Pence a cargo de la crisis del coronavirus,https://elpais.com/sociedad/2020/02/27/actualidad/1582762594_400436.html#?ref=rss&format=simple&link=link,"Thu, 27 Feb 2020 19:26:58 +0200",El País,El CDC confirma el primer caso de origen desconocido en Northern California. El infectado no ha viajado recientemente al extranjero ni ha tenido contacto con un caso confirmado,2026-03-06 15:10:00
4,“La magnitud del problema del coronavirus no será diferente a una gripe”,https://elpais.com/sociedad/2020/02/26/actualidad/1582744701_468958.html#?ref=rss&format=simple&link=link,"Thu, 27 Feb 2020 19:26:43 +0200",El País,"Ángel Gil de Miguel, catedrático de Medicina Preventiva y Salud Pública de la Universidad Rey Juan Carlos, lanza un mensaje de tranquilidad",2026-03-06 15:10:00
20,Consumo da la razón a los clientes de Fnac que compraron un móvil 575 euros más barato por un error,https://elpais.com/sociedad/2020/02/27/actualidad/1582796975_880373.html#?ref=rss&format=simple&link=link,"Thu, 27 Feb 2020 17:15:33 +0200",El País,La empresa ofreció en su web un Huawei de alta gama por 124 euros cuando su precio era de 699 euros. Recibió 12.000 pedidos que anuló,2026-03-06 15:10:00
1,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",https://elpais.com/sociedad/2020/02/27/actualidad/1582795523_075914.html#?ref=rss&format=simple&link=link,"Thu, 27 Feb 2020 17:13:44 +0200",El País,Se trata del segundo caso confirmado en la comunidad y el decimoquinto en España desde el lunes,2026-03-06 15:10:00
11,Ciudadanos pagaba un sueldo a un vocal de la Junta Electoral Central que resolvió recursos del partido,https://elpais.com/politica/2020/02/27/actualidad/1582796971_717381.html#?ref=rss&format=simple&link=link,"Thu, 27 Feb 2020 17:13:35 +0200",El País,Andrés Betancor ejerció como asesor de la formación en el Congreso mientras era miembro de la máxima autoridad electoral,2026-03-06 15:10:00
3,El turismo italiano se resiente; España mira expectante,https://elpais.com/sociedad/2020/02/26/actualidad/1582751511_964259.html#?ref=rss&format=simple&link=link,"Thu, 27 Feb 2020 15:26:25 +0200",El País,La patronal hotelera del área de Venecia describe un sector “al borde del colapso”,2026-03-06 15:10:00
7,El coronavirus de Wuhan | Japón cerrará todos sus centros escolares hasta fin de marzo,https://elpais.com/sociedad/2020/02/27/actualidad/1582772469_101682.html#?ref=rss&format=simple&link=link,"Thu, 27 Feb 2020 15:08:21 +0200",El País,"Corea del Sur, con casi 1.600 casos, y EE UU posponen sus ejercicios militares conjuntos",2026-03-06 15:10:00
19,¿Por qué los mosquitos se ceban con nuestros tobillos?,https://elpais.com/elpais/2020/02/27/ciencia/1582797400_512615.html#?ref=rss&format=simple&link=link,"Thu, 27 Feb 2020 14:25:21 +0200",El País,"El olor a ácido láctico emanado de los pies, diferente en cada individuo, atrae a estos insectos",2026-03-06 15:10:00
12,50 antiguos ministros y dirigentes europeos se pronuncian contra el plan de Trump para Palestina,https://elpais.com/internacional/2020/02/26/actualidad/1582750435_447092.html#?ref=rss&format=simple&link=link,"Thu, 27 Feb 2020 13:42:56 +0200",El País,El proyecto de paz de la Casa Blanca acumula rechazos en la comunidad internacional,2026-03-06 15:10:00
5,Seis italianos encerrados por partida doble,https://elpais.com/sociedad/2020/02/26/actualidad/1582745125_354016.html#?ref=rss&format=simple&link=link,"Thu, 27 Feb 2020 13:36:34 +0200",El País,Los compañeros de viaje de los cuatro positivos en Canarias están aislados del resto en el hotel en cuarentena,2026-03-06 15:10:00
15,La Fiscalía se querella contra una mujer por tuitear un vídeo falso de menores migrantes,https://elpais.com/ccaa/2020/02/27/catalunya/1582793229_305704.html#?ref=rss&format=simple&link=link,"Thu, 27 Feb 2020 13:21:28 +0200",El País,La agresión de unos alumnos a una profesora ocurrió en Brasil y no en España,2026-03-06 15:10:00
17,Especial EL PAÍS en Arco | Muntadas: “La sociedad ha degradado las palabras”,https://elpais.com/elpais/2020/02/27/actualidad/1582803771_531979.html#?ref=rss&format=simple&link=link,"Thu, 27 Feb 2020 12:49:20 +0200",El País,,2026-03-06 15:10:00
16,China desvela de qué está hecha la cara oculta de la Luna,https://elpais.com/elpais/2020/02/25/ciencia/1582651238_235155.html#?ref=rss&format=simple&link=link,"Thu, 27 Feb 2020 11:43:38 +0200",El País,El ‘Yutu-2’ obtiene las imágenes de radar más precisas del interior lunar hasta la fecha,2026-03-06 15:10:00
9,La mesa de diálogo se reunirá mensualmente y los acuerdos serán “en el marco de la seguridad jurídica”,https://elpais.com/politica/2020/02/26/actualidad/1582729437_069559.html#?ref=rss&format=simple&link=link,"Thu, 27 Feb 2020 11:31:31 +0200",El País,El Gobierno y la Generalitat pactan un comunicado conjunto tras tres horas de reunión,2026-03-06 15:10:00
10,Así avanzan las encuestas en Galicia y País Vasco,https://elpais.com/politica/2020/02/26/actualidad/1582705222_037590.html#?ref=rss&format=simple&link=link,"Thu, 27 Feb 2020 11:00:21 +0200",El País,"Los últimos sondeos y los datos básicos sobre el coronavirus, en la 'newsletter' de Kiko Llaneras de este miércoles",2026-03-06 15:10:00
21,Javier Bardem: “Hoy hay algún Hernán Cortés en el Congreso”,https://elpais.com/cultura/2020/02/26/actualidad/1582734306_817032.html#?ref=rss&format=simple&link=link,"Thu, 27 Feb 2020 10:30:32 +0200",El País,El actor presenta en Berlín 'The Roads Not Taken' a pocas horas de viajar a México para rodar la serie de Amazon sobre el conquistador español producida por Spielberg,2026-03-06 15:10:00
18,"La historia de Duralex, una vajilla tan irrompible como nuestra nostalgia",https://elpais.com/verne/2020/02/25/articulo/1582628993_071991.html#?ref=rss&format=simple&link=link,"Thu, 27 Feb 2020 08:27:18 +0200",El País,La marca francesa ha pasado de las estanterías de las tiendas a las vitrinas de los museos,2026-03-06 15:10:00
