persona,mentions,positive,negative,neutral,sentiment_score,top_sources,last_title,last_update,cycle
Trump,1807,105,97,1605,0.004,"{'lavanguardia': 237, 'google_news_es': 184, '20minutos': 172, 'google_news_internacional': 121, 'elpais': 109}",Donald Trump vs. Xi Jinping: ¿quién ganará la guerra energética?,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Illa,1730,122,58,1550,0.037,"{'okdiario': 214, '20minutos': 204, 'google_news_es': 187, 'levante_emv': 130, 'heraldo_aragon': 130}",Esta es la camiseta retro especial que el Athletic vestirá ante el Villarreal,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Xi Jinping,1569,142,54,1373,0.056,"{'20minutos': 202, 'google_news_es': 151, 'levante_emv': 140, 'heraldo_aragon': 139, 'lavanguardia': 120}","La UE exige ""pleno respeto al Derecho internacional por todas las partes"" en la guerra de Irán pero no cita a EEUU ni Is",2026-03-19 23:06:00+00:00,2026-03-19 23:06
Abascal,940,113,112,715,0.001,"{'google_news_politica': 83, 'eldiario': 80, 'heraldo_aragon': 80, 'levante_emv': 78, 'google_news_es': 73}",Inda: «PP y Vox están a farolazo limpio mientras Sánchez prepara el pucherazo de las próximas generales»,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Sánchez,928,71,76,781,-0.005,"{'google_news_politica': 147, 'okdiario': 109, '20minutos': 89, 'elespanol': 75, 'huffington_es': 61}",Sánchez pretende tomar Madrid adulterando el censo electoral,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Feijóo,868,114,93,661,0.024,"{'google_news_politica': 86, '20minutos': 84, 'levante_emv': 77, 'okdiario': 73, 'eldiario': 67}",El PP vuelve a votar contra la regularización de inmigrantes y deja solo al alcalde con «su error»,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Jamenei,376,9,7,360,0.005,"{'lavanguardia': 53, 'google_news_es': 42, '20minutos': 40, 'france24_es': 34, 'okdiario': 33}",Vacío de poder en Irán tras asesinato de Alí Larijani y ausencia de Mojtaba Jamenei,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Mazón,248,6,25,217,-0.077,"{'elpais': 63, 'lavanguardia': 50, 'levante_emv': 22, 'google_news_es': 21, '20minutos': 17}",La falla 'No olvidar la dana' rinde homenaje a las víctimas mientras reclaman que Mazón testifique,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Ayuso,225,22,9,194,0.058,"{'okdiario': 32, 'google_news_es': 25, 'eldiario': 25, 'elpais': 24, 'huffington_es': 19}",Sanidad prepara nuevas medidas legales contra Ayuso ante la “obstinada desobediencia” en el registro de objetores del ab,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Yolanda Díaz,196,15,14,167,0.005,"{'20minutos': 26, 'levante_emv': 18, 'elcorreo': 15, 'okdiario': 15, 'lavanguardia': 14}",Sumar aprieta hasta el último minuto para intervenir la vivienda en el plan anticrisis,2026-03-19 23:06:00+00:00,2026-03-19 23:06
