persona,mentions,positive,negative,neutral,sentiment_score,top_sources,last_title,last_update
Trump,3623,428,207,2988,0.061,"{'google_news_internacional': 573, 'google_news_es': 502, '20minutos': 295, 'lavanguardia': 215, 'france24_es': 215}",Las sospechas de uso de información privilegiada para manipular los mercados que se ciernen sobre la presidencia de Trum,2026-04-20 15:07
Xi Jinping,3338,445,140,2753,0.091,"{'google_news_internacional': 413, 'google_news_es': 328, '20minutos': 297, 'okdiario': 285, 'levante_emv': 256}",La exitosa serie de humor de Netflix en la que se cuela el 'caso Errejón',2026-04-20 15:07
Illa,2696,158,90,2448,0.025,"{'okdiario': 387, '20minutos': 324, 'google_news_es': 275, 'google_news_internacional': 247, 'levante_emv': 200}",Barcos de la Global Sumud Flotilla desvían en el Mediterráneo un buque de carga con &quot;materias primas destinadas a a,2026-04-20 15:07
Sánchez,2081,266,136,1679,0.062,"{'google_news_politica': 294, 'okdiario': 237, 'google_news_internacional': 154, 'google_news_es': 154, '20minutos': 149}",Junts reclama el coste de los «actos de promoción personal de Sánchez» en Barcelona,2026-04-20 15:07
Feijóo,1536,188,184,1164,0.003,"{'google_news_politica': 165, 'levante_emv': 147, 'google_news_es': 143, 'eldiario': 120, '20minutos': 105}",Dimite una concejala de Moclinejo (Málaga) del PP tras ser detenida por la Guardia Civil,2026-04-20 15:07
Abascal,1149,167,117,865,0.044,"{'google_news_politica': 127, 'levante_emv': 105, 'google_news_es': 94, 'heraldo_aragon': 91, 'eldiario': 86}",El CIS de abril aumenta la ventaja del PSOE en 13 puntos sobre el PP y baja dos puntos la intención de voto de Vox,2026-04-20 15:07
Yolanda Díaz,431,55,24,352,0.072,"{'20minutos': 60, 'google_news_es': 36, 'levante_emv': 31, 'elcorreo': 30, 'elmundo': 28}","Podemos y Sumar cargan contra Feijóo y le acusan de no condenar los cánticos ""racistas"" en el homenaje a Machado en Sol",2026-04-20 15:07
Puente,353,32,12,309,0.057,"{'okdiario': 70, '20minutos': 45, 'google_news_internacional': 40, 'google_news_es': 28, 'levante_emv': 26}",Huelga de gasolineras en España en el puente de mayo : UGT y CCOO convocan paros por el bloqueo del convenio - Antena 3,2026-04-20 15:07
Mazón,346,10,24,312,-0.04,"{'elpais': 59, 'google_news_es': 51, 'levante_emv': 43, 'lavanguardia': 35, '20minutos': 25}","La jueza de la dana afea al Gobierno de Mazón que, pese a una emergencia ""de tal calibre"", no hubo ""coordinación alguna""",2026-04-20 15:07
Ayuso,312,36,33,243,0.01,"{'elpais': 35, 'okdiario': 34, 'google_news_politica': 30, 'google_news_es': 30, 'huffington_es': 28}",Oyarzabal sí saludó a Ayuso en la final de la Copa del Rey,2026-04-20 15:07
