source,avg_score,positive,negative,neutral,total,positivity_pct,negativity_pct,last_update
20minutos,-0.036,946,1993,6702,9641,9.8,20.7,2026-04-10 04:02
bbc_mundo,-0.039,57,112,343,512,11.1,21.9,2026-04-10 04:02
efe,0.014,31,20,143,194,16.0,10.3,2026-04-10 04:02
efe_espana,0.019,2,1,10,13,15.4,7.7,2026-04-10 04:02
el_confidencial_economia,-0.011,17,20,68,105,16.2,19.0,2026-04-10 04:02
el_confidencial_tech,0.005,32,23,242,297,10.8,7.7,2026-04-10 04:02
elconfidencial,-0.088,57,217,363,637,8.9,34.1,2026-04-10 04:02
elcorreo,-0.031,593,1265,5334,7192,8.2,17.6,2026-04-10 04:02
eldiario,-0.033,338,672,2246,3256,10.4,20.6,2026-04-10 04:02
elespanol,-0.066,222,665,1309,2196,10.1,30.3,2026-04-10 04:02
elmundo,-0.051,205,512,1375,2092,9.8,24.5,2026-04-10 04:02
elmundo_espana,-0.067,44,144,288,476,9.2,30.3,2026-04-10 04:02
elmundo_internacional,-0.069,47,138,239,424,11.1,32.5,2026-04-10 04:02
elpais,-0.031,535,1012,3735,5282,10.1,19.2,2026-04-10 04:02
elpais_espana,-0.042,4,8,26,38,10.5,21.1,2026-04-10 04:02
elpais_internacional,-0.046,43,82,177,302,14.2,27.2,2026-04-10 04:02
europapress,-0.093,132,430,553,1115,11.8,38.6,2026-04-10 04:02
expansion,-0.0,361,358,1386,2105,17.1,17.0,2026-04-10 04:02
france24_es,-0.055,203,479,970,1652,12.3,29.0,2026-04-10 04:02
google_news_economia,0.003,635,579,1485,2699,23.5,21.5,2026-04-10 04:02
google_news_es,-0.022,1349,1935,6194,9478,14.2,20.4,2026-04-10 04:02
google_news_internacional,0.013,1315,990,3995,6300,20.9,15.7,2026-04-10 04:02
google_news_politica,-0.026,215,367,1236,1818,11.8,20.2,2026-04-10 04:02
heraldo_aragon,-0.02,842,1303,5985,8130,10.4,16.0,2026-04-10 04:02
huffington_es,-0.022,265,472,2182,2919,9.1,16.2,2026-04-10 04:02
infolibre,-0.047,108,244,688,1040,10.4,23.5,2026-04-10 04:02
lavanguardia,-0.037,564,1297,4834,6695,8.4,19.4,2026-04-10 04:02
levante_emv,-0.016,1060,1426,6104,8590,12.3,16.6,2026-04-10 04:02
maldita,0.008,62,51,245,358,17.3,14.2,2026-04-10 04:02
newtral,-0.003,39,43,194,276,14.1,15.6,2026-04-10 04:02
okdiario,-0.012,926,1219,6623,8768,10.6,13.9,2026-04-10 04:02
sur,-0.002,246,272,2376,2894,8.5,9.4,2026-04-10 04:02
