keyword,count,last_update,cycle
irán,225101,2026-03-26 23:01:00+00:00,2026-03-26 23:01
guerra,207922,2026-03-26 23:01:00+00:00,2026-03-26 23:01
internacional,200877,2026-03-26 23:01:00+00:00,2026-03-26 23:01
trump,150267,2026-03-26 23:01:00+00:00,2026-03-26 23:01
sánchez,116354,2026-03-26 23:01:00+00:00,2026-03-26 23:01
guerra irán,96276,2026-03-26 23:01:00+00:00,2026-03-26 23:01
israel,82588,2026-03-26 23:01:00+00:00,2026-03-26 23:01
málaga,59211,2026-03-26 23:01:00+00:00,2026-03-26 23:01
anuncia,53522,2026-03-26 23:01:00+00:00,2026-03-26 23:01
petróleo,52514,2026-03-26 23:01:00+00:00,2026-03-26 23:01
ormuz,51130,2026-03-26 23:01:00+00:00,2026-03-26 23:01
muere,50359,2026-03-26 23:01:00+00:00,2026-03-26 23:01
plan,49771,2026-03-26 23:01:00+00:00,2026-03-26 23:01
aragón,49279,2026-03-26 23:01:00+00:00,2026-03-26 23:01
diario,49038,2026-03-26 23:01:00+00:00,2026-03-26 23:01
santa,48679,2026-03-26 23:01:00+00:00,2026-03-26 23:01
carlos,48155,2026-03-26 23:01:00+00:00,2026-03-26 23:01
crisis,46454,2026-03-26 23:01:00+00:00,2026-03-26 23:01
20,46436,2026-03-26 23:01:00+00:00,2026-03-26 23:01
irán,225425,2026-03-26 23:31:00+00:00,2026-03-26 23:31
guerra,209754,2026-03-26 23:31:00+00:00,2026-03-26 23:31
internacional,202775,2026-03-26 23:31:00+00:00,2026-03-26 23:31
trump,149949,2026-03-26 23:31:00+00:00,2026-03-26 23:31
sánchez,113980,2026-03-26 23:31:00+00:00,2026-03-26 23:31
guerra irán,96152,2026-03-26 23:31:00+00:00,2026-03-26 23:31
israel,82714,2026-03-26 23:31:00+00:00,2026-03-26 23:31
málaga,59253,2026-03-26 23:31:00+00:00,2026-03-26 23:31
anuncia,53493,2026-03-26 23:31:00+00:00,2026-03-26 23:31
petróleo,52520,2026-03-26 23:31:00+00:00,2026-03-26 23:31
