keyword,count,last_update
internacional,431966,2026-04-26 12:36
trump,278211,2026-04-26 12:36
irán,260508,2026-04-26 12:36
guerra,210666,2026-04-26 12:36
sánchez,156257,2026-04-26 12:36
israel,116566,2026-04-26 12:36
málaga,111766,2026-04-26 12:36
nacional,92236,2026-04-26 12:36
diario,89858,2026-04-26 12:36
guerra irán,87259,2026-04-26 12:36
ormuz,86068,2026-04-26 12:36
aragón,81786,2026-04-26 12:36
muere,78734,2026-04-26 12:36
mundial,75729,2026-04-26 12:36
final,75428,2026-04-26 12:36
ia,74071,2026-04-26 12:36
regularización,73088,2026-04-26 12:36
ue,72990,2026-04-26 12:36
español,72020,2026-04-26 12:36
abc,69225,2026-04-26 12:36
anuncia,69006,2026-04-26 12:36
