keyword,count_now,count_base,ratio,viral_score,sources,n_sources,sample_title,detected_at,cycle
eeuu,3,12,4.38,87,okdiario,1,"Guerra de Irán, última hora de EEUU, Israel en directo | Reacciones, ataques en Oriente Medio hoy",2026-03-07 14:58,2026-03-07 14:58
trump,3,19,2.76,55,"heraldo_aragon, elmundo, okdiario",3,"La ofensiva de Trump no garantiza la democracia, según los expertos: &quot;A menudo se confunde un régimen debilitado con al borde del colapso&quot;",2026-03-07 14:58,2026-03-07 14:58
juan,4,4,9.98,100,"levante_emv, 20minutos, eldiario, elcorreo",4,"El rey Juan Carlos suspende su visita a Sanxenxo por la situación en Abu Dabi: ""Se encuentra bien""",2026-03-07 15:00,2026-03-07 15:00
carlos,4,7,5.7,100,"levante_emv, 20minutos, eldiario, elcorreo",4,"El rey Juan Carlos suspende su visita a Sanxenxo por la situación en Abu Dabi: ""Se encuentra bien""",2026-03-07 15:00,2026-03-07 15:00
informe,3,0,5.0,100,france24_es,1,Informe desde Estambul: Azerbaiyán dice que desarticuló un plan iraní para atacar oleoducto,2026-03-07 15:00,2026-03-07 15:00
israelíes,3,1,29.94,100,france24_es,1,Informe desde Beirut: ataques israelíes sin éxito para recuperar restos del piloto Ron Arad,2026-03-07 15:00,2026-03-07 15:00
dhabi,3,0,5.0,100,"20minutos, eldiario, elcorreo",3,"El rey Juan Carlos cancela su viaje a España: se queda con su nieto Froilán en Abu Dhabi, en alerta por la guerra en Oriente Medio",2026-03-07 15:00,2026-03-07 15:00
régimen,3,1,29.94,100,"heraldo_aragon, elmundo",2,"La ofensiva de Trump no garantiza la democracia, según los expertos: &quot;A menudo se confunde un régimen debilitado con al borde del colapso&quot;",2026-03-07 15:00,2026-03-07 15:00
desde,3,7,4.28,85,france24_es,1,Informe desde Estambul: Azerbaiyán dice que desarticuló un plan iraní para atacar oleoducto,2026-03-07 15:00,2026-03-07 15:00
eeuu,4,12,3.33,66,"huffington_es, okdiario",2,La batalla decisiva en Irán no son los misiles: EEUU e Israel libran una guerra invisible en el espectro electromagnético que determinará quién gana,2026-03-07 15:00,2026-03-07 15:00
trump,6,21,2.85,57,"infolibre, heraldo_aragon, elmundo, okdiario",4,"Trump promete un ataque ""muy duro"" contra Irán tras haberse ""rendido ante sus vecinos""",2026-03-07 15:00,2026-03-07 15:00
carlos,4,7,5.99,100,"levante_emv, 20minutos, eldiario, elcorreo",4,"El rey Juan Carlos suspende su visita a Sanxenxo por la situación en Abu Dabi: ""Se encuentra bien""",2026-03-07 15:03,2026-03-07 15:03
informe,3,0,5.0,100,france24_es,1,Informe desde Estambul: Azerbaiyán dice que desarticuló un plan iraní para atacar oleoducto,2026-03-07 15:03,2026-03-07 15:03
israelíes,3,1,31.47,100,france24_es,1,Informe desde Beirut: ataques israelíes sin éxito para recuperar restos del piloto Ron Arad,2026-03-07 15:03,2026-03-07 15:03
régimen,3,1,31.47,100,"heraldo_aragon, elmundo",2,"La ofensiva de Trump no garantiza la democracia, según los expertos: &quot;A menudo se confunde un régimen debilitado con al borde del colapso&quot;",2026-03-07 15:03,2026-03-07 15:03
trump,6,21,3.0,59,"infolibre, heraldo_aragon, elmundo, okdiario",4,"Trump promete un ataque ""muy duro"" contra Irán tras haberse ""rendido ante sus vecinos""",2026-03-07 15:03,2026-03-07 15:03
